standardized_effect,balanced_n_per_group,two_sided_alpha,power
0.8,12,0.05,0.4657592883021013
0.8,13,0.05,0.4991569512103264
0.8,14,0.05,0.5311773530717481
0.8,15,0.05,0.5617848517410411
0.8,16,0.05,0.5909600573340597
0.8,17,0.05,0.6186977144159138
0.8,18,0.05,0.645004714483189
0.8,19,0.05,0.6698982611556298
0.8,20,0.05,0.6934041966153821
0.8,21,0.05,0.7155554896548142
0.8,22,0.05,0.7363908808143113
0.8,23,0.05,0.7559536771956484
0.8,24,0.05,0.7742906878765619
0.8,25,0.05,0.7914512899851561
0.8,26,0.05,0.8074866151465275
0.8,27,0.05,0.8224488460145711
0.8,28,0.05,0.8363906128349048
0.8,29,0.05,0.8493644803722308
0.8,30,0.05,0.8614225160229566
0.8,31,0.05,0.8726159304829044
0.8,32,0.05,0.8829947829225335
0.8,33,0.05,0.8926077432180002
0.8,34,0.05,0.9015019043807562
0.8,35,0.05,0.909722638910486
0.8,36,0.05,0.9173134933583262
0.8,37,0.05,0.9243161159240996
0.8,38,0.05,0.9307702124191862
0.8,39,0.05,0.936713526403396
0.8,40,0.05,0.9421818397487456
0.8,41,0.05,0.94720899029495
0.8,42,0.05,0.9518269036411672
0.8,43,0.05,0.9560656364667216
0.8,44,0.05,0.9599534290914372
0.8,45,0.05,0.96351676527511
0.8,46,0.05,0.9667804375171548
0.8,47,0.05,0.9697676163531924
0.8,48,0.05,0.9724999223570032
0.8,49,0.05,0.9749974997451116
0.8,50,0.05,0.9772790906584076
0.8,51,0.05,0.9793621092989818
0.8,52,0.05,0.9812627153588042
0.8,53,0.05,0.9829958860908048
0.8,54,0.05,0.9845754866749976
0.8,55,0.05,0.9860143385014551
0.8,56,0.05,0.9873242851096886
0.8,57,0.05,0.9885162555850394
0.8,58,0.05,0.989600325270168
0.8,59,0.05,0.9905857736988072
0.8,60,0.05,0.9914811397005734
1.0,3,0.05,0.1587908700052003
1.0,4,0.05,0.2231880306975434
1.0,5,0.05,0.2862954933805975
1.0,6,0.05,0.3473536972788393
1.0,7,0.05,0.4058069528202889
1.0,8,0.05,0.46123884950416
1.0,9,0.05,0.5133625331068465
1.0,10,0.05,0.5620066465861779
1.0,11,0.05,0.6070977962282464
1.0,12,0.05,0.6486425507266578
1.0,13,0.05,0.6867105973053516
1.0,14,0.05,0.721419751479373
1.0,15,0.05,0.7529230345034107
1.0,16,0.05,0.7813977924664225
1.0,17,0.05,0.80703671514722
1.0,18,0.05,0.8300405614791947
1.0,19,0.05,0.8506123816521004
1.0,20,0.05,0.8689530277239899
1.0,21,0.05,0.8852577564808748
1.0,22,0.05,0.8997137452263947
1.0,23,0.05,0.9124983602972396
1.0,24,0.05,0.9237780376374878
1.0,25,0.05,0.9337076536843196
1.0,26,0.05,0.942430282515936
1.0,27,0.05,0.9500772513685196
1.0,28,0.05,0.9567684211041152
1.0,29,0.05,0.9626126309853992
1.0,30,0.05,0.9677082582419324
1.0,31,0.05,0.9721438524975616
1.0,32,0.05,0.9759988132979724
1.0,33,0.05,0.9793440858711524
1.0,34,0.05,0.9822428560144312
1.0,35,0.05,0.9847512297690793
1.0,36,0.05,0.9869188874487131
1.0,37,0.05,0.9887897047525892
1.0,38,0.05,0.990402336229553
1.0,39,0.05,0.9917907583616244
1.0,40,0.05,0.9929847710950582
1.0,41,0.05,0.994010457837326
1.0,42,0.05,0.99489060482667
1.0,43,0.05,0.9956450814231188
1.0,44,0.05,0.9962911833141068
1.0,45,0.05,0.9968439409145616
1.0,46,0.05,0.997316395404334
1.0,47,0.05,0.9977198449132254
1.0,48,0.05,0.9980640633586988
1.0,49,0.05,0.998357494382417
1.0,50,0.05,0.9986074227351128
1.0,51,0.05,0.9988201253315362
1.0,52,0.05,0.9990010040678584
1.0,53,0.05,0.9991547023263724
1.0,54,0.05,0.99928520695699
1.0,55,0.05,0.9993959373620398
1.0,56,0.05,0.9994898231663598
1.0,57,0.05,0.9995693718122656
1.0,58,0.05,0.9996367272849562
1.0,59,0.05,0.9996937210486484
1.0,60,0.05,0.9997419161577248
1.5,3,0.05,0.2931947003055968
1.5,4,0.05,0.4299975561800332
1.5,5,0.05,0.5493855977623961
1.5,6,0.05,0.6495814802369018
1.5,7,0.05,0.7313303219845837
1.5,8,0.05,0.7965450101338418
1.5,9,0.05,0.8476101041561461
1.5,10,0.05,0.8869702022546846
1.5,11,0.05,0.91689914356344
1.5,12,0.05,0.9393885629852996
1.5,13,0.05,0.9561117580143756
1.5,14,0.05,0.9684316702286688
1.5,15,0.05,0.977431889912583
1.5,16,0.05,0.9839571910177144
1.5,17,0.05,0.9886555189321302
1.5,18,0.05,0.992017021710147
1.5,19,0.05,0.99440807615122
1.5,20,0.05,0.996099693410795
1.5,21,0.05,0.9972904945428814
1.5,22,0.05,0.9981248467472394
1.5,23,0.05,0.9987069029173882
1.5,24,0.05,0.9991112962917628
1.5,25,0.05,0.9993911771789568
1.5,26,0.05,0.999584182215832
1.5,27,0.05,0.9997168230948092
1.5,28,0.05,0.9998076843675574
1.5,29,0.05,0.9998697348800992
1.5,30,0.05,0.9999119865087324
1.5,31,0.05,0.9999406767417198
1.5,32,0.05,0.9999601067717224
1.5,33,0.05,0.9999732322037046
1.5,34,0.05,0.9999820773009788
1.5,35,0.05,0.9999880241263484
1.5,36,0.05,0.9999920134833872
1.5,37,0.05,0.9999946839954834
1.5,38,0.05,0.9999964680015891
1.5,39,0.05,0.999997657440572
1.5,40,0.05,0.9999984489640984
1.5,41,0.05,0.9999989747284824
1.5,42,0.05,0.9999993233484415
1.5,43,0.05,0.9999995541153464
1.5,44,0.05,0.9999997066188918
1.5,45,0.05,0.9999998072413808
1.5,46,0.05,0.9999998735303336
1.5,47,0.05,0.9999999171356404
1.5,48,0.05,0.9999999457780556
1.5,49,0.05,0.9999999645656428
1.5,50,0.05,0.99999997687234
1.5,51,0.05,0.9999999849231268
1.5,52,0.05,0.9999999901830302
1.5,53,0.05,0.9999999936152526
1.5,54,0.05,0.9999999958521504
1.5,55,0.05,0.9999999973082936
1.5,56,0.05,0.9999999982551038
1.5,57,0.05,0.9999999988700476
1.5,58,0.05,0.9999999992690122
1.5,59,0.05,0.999999999527578
1.5,60,0.05,0.9999999996949788
